id_invoice,tanggal,id_customer,nama_customer,kota,nama_produk,total_barang_terjual,total_pembelian,id_distributor,kategori_grup
IN5978,2022-05-25,CUST55670,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",9,10529.19,TD,Apotek
IN5979,2022-03-28,CUST55598,"APOTEK MAJA",Kuningan,"AMBROXOL HC",18,104052.60,TA,Apotek
IN5980,2022-01-23,CUST55432,"APOTEK TAPAK",Aceh,AMPICILLIN,20,213812.00,TA,Apotek
IN5981,2022-01-28,CUST55443,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",76,661253.20,EPM,Apotek
IN5982,2022-01-30,CUST55535,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",5,14096.00,TD,Apotek
IN5983,2022-04-21,CUST55622,"KLINIK GM",Jakarta,AMPICILLIN,67,716270.20,EPM,Klinik
IN5984,2022-05-01,CUST55714,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",8,45186.40,TD,Klinik
IN5985,2022-04-18,CUST55640,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",22,25738.02,TD,Apotek
IN5986,2022-02-15,CUST55557,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",9,35927.10,TA,Apotek
IN5987,2022-04-19,CUST55659,"KLINIK GM",Jakarta,PARACETAMOL,14,97164.20,EPM,Klinik
IN5988,2022-02-09,CUST55551,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",10,23375.00,EPM,Apotek
IN5989,2022-05-01,CUST55719,"KLINIK GM",Jakarta,PARACETAMOL,67,465000.10,TA,Klinik
IN5990,2022-05-03,CUST55706,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",10,45921.00,TA,Klinik
IN5991,2022-01-23,CUST55414,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",24,135559.20,TD,Klinik
IN5992,2022-06-16,CUST55707,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",23,91813.70,EPM,Apotek
IN5993,2022-05-26,CUST55671,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",1,2337.50,TD,Apotek
IN5994,2022-02-01,CUST55411,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",12,28050.00,TD,Apotek
IN5995,2022-04-06,CUST55607,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",14,55886.60,TD,Klinik
IN5996,2022-05-25,CUST55656,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",22,101026.20,EPM,Apotek
IN5997,2022-01-20,CUST55380,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",1,1169.91,TD,Apotek
IN5998,2022-04-09,CUST55610,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",23,26907.93,TD,Apotek
