id_penjualan,id_invoice,tanggal,id_customer,nama,id_barang,nama_barang,harga,unit,jumlah_barang,mata_uang,kemasan,cabang_sales,id_distributor,id_cabang,kode_lini,lini,id_group,kategori_grup
IN5978_BRG0001,IN5978,2022-05-25,CUST55670,"APOTEK SINAR JAYA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,9,IDR,DUS,Bekasi,TD,CAB09,206,"OGB & PH",Z32,Apotek
IN5979_BRG0009,IN5979,2022-03-28,CUST55598,"APOTEK MAJA",BRG0009,"AMBROXOL HC",5780.70,DUS,18,IDR,BOTOL,Kuningan,TA,CAB01,207,VNS,Z32,Apotek
IN5980_BRG0003,IN5980,2022-01-23,CUST55432,"APOTEK TAPAK",BRG0003,AMPICILLIN,10690.60,DUS,20,IDR,BOTOL,Aceh,TA,CAB01,210,MARCKS,Z32,Apotek
IN5981_BRG0004,IN5981,2022-01-28,CUST55443,"APOTEK MERDEKA",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,76,IDR,KAPSUL,Bandung,EPM,CAB07,201,VNS,Z32,Apotek
IN5982_BRG0006,IN5982,2022-01-30,CUST55535,"APOTEK SINAR JAYA",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,5,IDR,TABLET,Bekasi,TD,CAB09,205,"OGB & PH",Z32,Apotek
IN5983_BRG0003,IN5983,2022-04-21,CUST55622,"KLINIK GM",BRG0003,AMPICILLIN,10690.60,DUS,67,IDR,BOTOL,Jakarta,EPM,CAB06,210,MARCKS,Z31,Klinik
IN5984_BRG0005,IN5984,2022-05-01,CUST55714,"KLINIK SAHABAT",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,8,IDR,TABLET,Tangerang,TD,CAB08,203,SLCYL,Z31,Klinik
IN5985_BRG0001,IN5985,2022-04-18,CUST55640,"APOTEK SINAR JAYA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,22,IDR,DUS,Bekasi,TD,CAB09,206,"OGB & PH",Z32,Apotek
IN5986_BRG0002,IN5986,2022-02-15,CUST55557,"APOTEK SINAR JAYA",BRG0002,"ALERGINE TABLET SALUT",3991.90,DUS,9,IDR,DUS,Bekasi,TA,CAB01,203,MARCKS,Z32,Apotek
IN5987_BRG0010,IN5987,2022-04-19,CUST55659,"KLINIK GM",BRG0010,PARACETAMOL,6940.30,DUS,14,IDR,BOTOL,Jakarta,EPM,CAB02,208,SLCYL,Z31,Klinik
IN5988_BRG0002,IN5988,2022-02-09,CUST55551,"APOTEK SAHABAT",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,10,IDR,DUS,Padang,EPM,CAB10,203,ETIKAL,Z32,Apotek
IN5989_BRG0010,IN5989,2022-05-01,CUST55719,"KLINIK GM",BRG0010,PARACETAMOL,6940.30,DUS,67,IDR,BOTOL,Jakarta,TA,CAB02,208,SLCYL,Z31,Klinik
IN5990_BRG0001,IN5990,2022-05-03,CUST55706,"KLINIK SAHABAT",BRG0001,"ACYCLOVIR DUS",4592.10,DUS,10,IDR,DUS,Tangerang,TA,CAB01,206,ETIKAL,Z31,Klinik
IN5991_BRG0005,IN5991,2022-01-23,CUST55414,"KLINIK SAHABAT",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,24,IDR,TABLET,Tangerang,TD,CAB08,203,SLCYL,Z31,Klinik
IN5992_BRG0002,IN5992,2022-06-16,CUST55707,"APOTEK SINAR JAYA",BRG0002,"ALERGINE TABLET SALUT",3991.90,DUS,23,IDR,DUS,Bekasi,EPM,CAB01,203,MARCKS,Z32,Apotek
IN5993_BRG0002,IN5993,2022-05-26,CUST55671,"APOTEK SAHABAT",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,1,IDR,DUS,Padang,TD,CAB10,203,ETIKAL,Z32,Apotek
IN5994_BRG0002,IN5994,2022-02-01,CUST55411,"APOTEK MAJA",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,12,IDR,DUS,Kuningan,TD,CAB05,203,ETIKAL,Z32,Apotek
IN5995_BRG0008,IN5995,2022-04-06,CUST55607,"KLINIK GM",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,14,IDR,KAPSUL,Jakarta,TD,CAB06,204,MARCKS,Z31,Klinik
IN5996_BRG0007,IN5996,2022-05-25,CUST55656,"APOTEK SAHABAT",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,22,IDR,BOTOL,Padang,EPM,CAB10,206,ETIKAL,Z32,Apotek
IN5997_BRG0001,IN5997,2022-01-20,CUST55380,"APOTEK TAPAK",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,1,IDR,DUS,Aceh,TD,CAB01,206,"OGB & PH",Z32,Apotek
IN5998_BRG0001,IN5998,2022-04-09,CUST55610,"APOTEK SINAR JAYA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,23,IDR,DUS,Bekasi,TD,CAB09,206,"OGB & PH",Z32,Apotek
IN5999_BRG0003,IN5999,2022-05-01,CUST55632,"APOTEK SINAR JAYA",BRG0003,AMPICILLIN,10690.60,DUS,5,IDR,BOTOL,Bekasi,EPM,CAB01,210,MARCKS,Z32,Apotek
IN6000_BRG0008,IN6000,2022-06-16,CUST55717,"APOTEK TAPAK",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,7,IDR,KAPSUL,Aceh,EPM,CAB01,204,MARCKS,Z32,Apotek
